Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_G,EDAT_Q,SEXE
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,0,2
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,1,1
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,2,1
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,2,2
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,3,1
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,3,2
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,4,1
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,4,2
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,5,1
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,5,2
2014,1,Ciutat Vella,1,el Raval,1,1001,5,1,6,1
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,6,2
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,7,2
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,8,1
2014,1,Ciutat Vella,1,el Raval,1,1001,6,1,8,2
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,9,2
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,10,1
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,10,2
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,11,2
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,13,1
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,18,2
2014,1,Ciutat Vella,1,el Raval,1,1001,..,1,19,1
2014,1,Ciutat Vella,1,el Raval,1,1001,..,2,4,1
2014,1,Ciutat Vella,1,el Raval,1,1001,..,2,4,2
2014,1,Ciutat Vella,1,el Raval,1,1001,..,2,5,1
2014,1,Ciutat Vella,1,el Raval,1,1001,5,2,5,2
2014,1,Ciutat Vella,1,el Raval,1,1001,..,2,6,1
2014,1,Ciutat Vella,1,el Raval,1,1001,..,2,6,2
2014,1,Ciutat Vella,1,el Raval,1,1001,..,2,7,1
2014,1,Ciutat Vella,1,el Raval,1,1001,..,2,7,2
2014,1,Ciutat Vella,1,el Raval,1,1001,..,2,9,2
2014,1,Ciutat Vella,1,el Raval,1,1001,..,2,16,1
2014,1,Ciutat Vella,1,el Raval,1,1001,..,3,0,1
2014,1,Ciutat Vella,1,el Raval,1,1001,..,3,0,2
2014,1,Ciutat Vella,1,el Raval,1,1001,..,3,2,2
2014,1,Ciutat Vella,1,el Raval,1,1001,..,3,3,1
2014,1,Ciutat Vella,1,el Raval,1,1001,..,3,3,2
2014,1,Ciutat Vella,1,el Raval,1,1001,..,3,4,1
2014,1,Ciutat Vella,1,el Raval,1,1001,8,3,4,2
2014,1,Ciutat Vella,1,el Raval,1,1001,7,3,5,1
2014,1,Ciutat Vella,1,el Raval,1,1001,12,3,5,2
2014,1,Ciutat Vella,1,el Raval,1,1001,..,3,6,1
2014,1,Ciutat Vella,1,el Raval,1,1001,10,3,6,2
2014,1,Ciutat Vella,1,el Raval,1,1001,..,3,7,1
2014,1,Ciutat Vella,1,el Raval,1,1001,6,3,7,2
2014,1,Ciutat Vella,1,el Raval,1,1001,..,3,8,2
2014,1,Ciutat Vella,1,el Raval,1,1001,..,3,9,1
2014,1,Ciutat Vella,1,el Raval,1,1001,..,3,9,2
2014,1,Ciutat Vella,1,el Raval,1,1001,..,3,12,2
2014,1,Ciutat Vella,1,el Raval,1,1001,..,3,13,1
2014,1,Ciutat Vella,1,el Raval,1,1002,..,1,0,1
2014,1,Ciutat Vella,1,el Raval,1,1002,..,1,0,2
2014,1,Ciutat Vella,1,el Raval,1,1002,..,1,1,2
2014,1,Ciutat Vella,1,el Raval,1,1002,..,1,3,1
2014,1,Ciutat Vella,1,el Raval,1,1002,..,1,3,2
2014,1,Ciutat Vella,1,el Raval,1,1002,..,1,4,1
2014,1,Ciutat Vella,1,el Raval,1,1002,..,1,4,2
2014,1,Ciutat Vella,1,el Raval,1,1002,5,1,5,1
2014,1,Ciutat Vella,1,el Raval,1,1002,..,1,5,2
2014,1,Ciutat Vella,1,el Raval,1,1002,..,1,6,1
2014,1,Ciutat Vella,1,el Raval,1,1002,..,1,6,2
2014,1,Ciutat Vella,1,el Raval,1,1002,..,1,7,1
2014,1,Ciutat Vella,1,el Raval,1,1002,..,1,8,1
2014,1,Ciutat Vella,1,el Raval,1,1002,..,1,8,2
2014,1,Ciutat Vella,1,el Raval,1,1002,..,1,9,2
2014,1,Ciutat Vella,1,el Raval,1,1002,..,1,10,2
2014,1,Ciutat Vella,1,el Raval,1,1002,..,1,11,1
2014,1,Ciutat Vella,1,el Raval,1,1002,..,1,12,1
2014,1,Ciutat Vella,1,el Raval,1,1002,..,1,16,1
2014,1,Ciutat Vella,1,el Raval,1,1002,..,1,16,2
2014,1,Ciutat Vella,1,el Raval,1,1002,..,2,1,2
2014,1,Ciutat Vella,1,el Raval,1,1002,..,2,3,1
2014,1,Ciutat Vella,1,el Raval,1,1002,..,2,4,1
2014,1,Ciutat Vella,1,el Raval,1,1002,..,2,4,2
2014,1,Ciutat Vella,1,el Raval,1,1002,..,2,5,1
2014,1,Ciutat Vella,1,el Raval,1,1002,6,2,5,2
2014,1,Ciutat Vella,1,el Raval,1,1002,..,2,6,2
2014,1,Ciutat Vella,1,el Raval,1,1002,5,2,7,1
2014,1,Ciutat Vella,1,el Raval,1,1002,..,2,7,2
2014,1,Ciutat Vella,1,el Raval,1,1002,..,2,8,1
2014,1,Ciutat Vella,1,el Raval,1,1002,..,2,9,1
2014,1,Ciutat Vella,1,el Raval,1,1002,..,3,0,1
2014,1,Ciutat Vella,1,el Raval,1,1002,..,3,0,2
2014,1,Ciutat Vella,1,el Raval,1,1002,..,3,1,1
2014,1,Ciutat Vella,1,el Raval,1,1002,..,3,3,1
2014,1,Ciutat Vella,1,el Raval,1,1002,..,3,3,2
2014,1,Ciutat Vella,1,el Raval,1,1002,9,3,4,1
2014,1,Ciutat Vella,1,el Raval,1,1002,18,3,4,2
2014,1,Ciutat Vella,1,el Raval,1,1002,7,3,5,1
2014,1,Ciutat Vella,1,el Raval,1,1002,18,3,5,2
2014,1,Ciutat Vella,1,el Raval,1,1002,6,3,6,1
2014,1,Ciutat Vella,1,el Raval,1,1002,8,3,6,2
2014,1,Ciutat Vella,1,el Raval,1,1002,10,3,7,2
2014,1,Ciutat Vella,1,el Raval,1,1002,..,3,8,1
2014,1,Ciutat Vella,1,el Raval,1,1002,5,3,8,2
